-74.01641082763672,40.74959945678711,366834180,60
-74.01758575439453,40.74948501586914,366999413,98
-74.0193862915039,40.73594665527344,367367430,60
-74.02375030517578,40.73287582397461,366902360,60
-74.01632690429688,40.749847412109375,366834180,60
-74.01624298095703,40.750091552734375,366834180,60
-74.02100372314453,40.75227737426758,366946090,None
-74.0226058959961,40.75263214111328,367704620,6
-74.01197814941406,40.74058532714844,367531740,51
-74.01614379882812,40.75034713745117,366834180,60
-74.01055145263672,40.745887756347656,310245000,37
-74.01909637451172,40.736419677734375,367367430,60
-74.02391815185547,40.73318862915039,366902360,60
-74.01766967773438,40.74917984008789,366999413,98
-74.01597595214844,40.75083541870117,366834180,60
-74.01589965820312,40.75108337402344,366834180,60
-74.018798828125,40.73696517944336,367367430,60
-74.02409362792969,40.73351287841797,366902360,60
-74.0226058959961,40.75263214111328,367704620,6
-74.02100372314453,40.75227737426758,366946090,None
-74.01582336425781,40.75132751464844,366834180,60
-74.01197814941406,40.7405891418457,367531740,51
-74.01573181152344,40.75157165527344,366834180,60
-74.01053619384766,40.74591064453125,310245000,37
