"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
636015114,1500321472,752298,62145016,1266,1,167,5,9229427,"ETC MENA","A8YR4",89,209,38,24,18,88,"TANJUNG PELEPAS",491742
244620173,1500321539,31186184,2475155,2787,0,29,0,0,"DE NIEUWE PRINS","PC4384",69,31,0,8,0,12,"BERGH,MV,PH,SCHH,BH.",851328
358004029,1500321557,17874489,73267773,1438,0,242,15,9596973,"RED","V7UU2",80,226,48,21,27,0,"",0
338504000,1500321441,16767554,-49465327,2560,0,1,5,9583249,"LEGACY","WDF7311",81,179,34,19,14,106,"TAMPA,FL",490880
244810763,1500321502,31092480,2430624,1108,0,511,0,0,"BLAUWE FUGEL","",0,0,0,0,0,0,"",
413360510,1500321538,14899812,71392547,2255,68,511,0,0,"JUN XIN 66","",70,46,10,5,4,0,"",
244740409,1500320469,31193779,3082776,3600,0,511,0,0,"GROVAN","PD3364",79,68,12,3,6,0,"A",1596
338229373,1500321449,15474994,-48097096,587,0,511,0,0,"SAN REMO","",0,0,0,0,0,0,"",
244830182,1500321563,31018383,-3014049,3070,0,267,0,9715713,"SUNDOWNER","PCTK",80,77,10,8,7,43,"PEMBROKE",490664
566077000,1500321561,784700,62236000,1210,0,511,0,9616462,"SWISSCO SUMMIT","9V8428",52,10,31,4,6,30,"PEBG-A SINGAPORE",360877
413435730,1500321308,18720844,73097785,3179,80,345,5,0,"JINZHOU517","",80,59,22,6,2,38,"SHANHAI",463488
244730456,1500321301,31594630,3359762,956,0,511,0,0,"FLYER","PB8927",37,5,5,2,1,0,"",
477776800,1500321201,738008,62265744,2431,0,136,5,9553945,"STOLT KILAUEA","VRMW5",80,78,19,4,12,45,"PEBGC SGP",490880
205287390,1500321560,30753426,2537622,3174,1,511,0,0,"AXIOMA","OT2873",79,79,6,6,6,0,"ROTTERDAM",843776
